Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
Coromandel International,Agro Chemicals ,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,1961 (63 yrs old),5k-10k,5k-10k
Adani Power,Power ,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,2006 (18 yrs old),1k-5k,1k-5k
Varroc Group,Auto Components ,3.8,Promotions / Appraisal,Promotions / Appraisal,1988 (36 yrs old),,1k-5k
Optum Global Solutions,IT Services & Consulting ,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2002 (22 yrs old),50k-1 Lakh,10k-50k
Laurus Labs,Pharma ,4.2,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal,2005 (19 yrs old),5k-10k,5k-10k
Bank of Baroda,Banking ,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",1908 (116 yrs old),50k-1 Lakh,50k-1 Lakh
SAP,Software Product ,4.3,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Work Satisfaction, Company Culture",1972 (52 yrs old),1 Lakh+,10k-50k
Cargill,Food Processing ,4.1,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,1865 (159 yrs old),1 Lakh+,1k-5k
Future Generali India Life Insurance,Insurance ,3.7,Promotions / Appraisal,Promotions / Appraisal,,,
Microsoft Corporation,Software Product ,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,1975 (49 yrs old),10k-50k,10k-50k
ValueLabs,IT Services & Consulting ,3.8,Salary & Benefits,Promotions / Appraisal,1997 (27 yrs old),5k-10k,5k-10k
Meesho,Internet ,3.7,Salary & Benefits,"Job Security, Promotions / Appraisal",2015 (9 yrs old),5k-10k,5k-10k
Sterling & Wilson,Engineering & Construction ,4.1,"Work Life Balance, Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal",1927 (97 yrs old),1k-5k,501-1k
Tata Motors Finance,NBFC ,4.1,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,1957 (67 yrs old),1k-5k,1k-5k
Adani Wilmar,FMCG ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1999 (25 yrs old),1k-5k,1k-5k
Gabriel India,Auto Components ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1961 (63 yrs old),1k-5k,1k-5k
Niva Bupa Health Insurance Company,Insurance ,3.7,"Promotions / Appraisal, Work Satisfaction","Promotions / Appraisal, Work Satisfaction",,,
Renault Nissan Technology & Business Centre India,Automobile ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",,,
Sify Technologies,IT Services & Consulting ,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,1995 (29 yrs old),1k-5k,1k-5k
Citibank,Banking ,3.9,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal,1812 (212 yrs old),,10k-50k
JK Tyres,Auto Components ,3.8,"Promotions / Appraisal, Company Culture, Salary & Benefits","Promotions / Appraisal, Company Culture, Salary & Benefits",1951 (73 yrs old),10k-50k,1k-5k
TCE,Engineering & Construction ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1962 (62 yrs old),,5k-10k
AECOM,Engineering & Construction ,4.3,"Work Life Balance, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",1990 (34 yrs old),50k-1 Lakh,1k-5k
HCL Infosystems,IT Services & Consulting ,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1976 (48 yrs old),1 Lakh+,51-200
Power Mech Projects,Engineering & Construction ,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2007 (17 yrs old),10k-50k,1k-5k
Apollo Pharmacy,Pharma ,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,1983 (41 yrs old),10k-50k,10k-50k
Lucas-TVS,Auto Components ,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,1962 (62 yrs old),5k-10k,5k-10k
Matrimony.com,Internet ,4.4,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal,1997 (27 yrs old),1k-5k,1k-5k
Allstate,Insurance ,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2012 (12 yrs old),5k-10k,5k-10k
Thomson Reuters,Software Product ,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,2008 (16 yrs old),10k-50k,5k-10k
NeoSOFT,IT Services & Consulting ,4.0,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,1996 (28 yrs old),1k-5k,1k-5k
YASH Technologies,IT Services & Consulting ,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,1996 (28 yrs old),5k-10k,5k-10k
Taurus BPO Services,BPO ,4.6,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,,,
Crisil,Financial Services ,3.7,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1987 (37 yrs old),1k-5k,1k-5k
CitiusTech,IT Services & Consulting ,3.4,"Promotions / Appraisal, Job Security, Salary & Benefits","Promotions / Appraisal, Job Security, Salary & Benefits",2005 (19 yrs old),5k-10k,1k-5k
Hindustan Aeronautics,Defence & Aerospace ,4.4,"Skill Development / Learning, Work Life Balance, Job Security","Promotions / Appraisal, Job Security, Salary & Benefits",,,
Dr Lal PathLabs,Healthcare ,4.2,"Skill Development / Learning, Job Security, Company Culture","Promotions / Appraisal, Job Security, Salary & Benefits",1949 (75 yrs old),1k-5k,1k-5k
Parle Products,Food Processing ,4.0,Salary & Benefits,"Promotions / Appraisal, Job Security, Salary & Benefits",1929 (95 yrs old),10k-50k,1k-5k
SBI General Insurance,Insurance ,3.8,Job Security,Promotions / Appraisal,2009 (15 yrs old),10k-50k,5k-10k
Novartis,Pharma ,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,1996 (28 yrs old),10k+,1k-5k
L&T Energy Hydrocarbon,Engineering & Construction ,4.0,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",,,
Reliance General Insurance,Insurance ,3.8,Promotions / Appraisal,Promotions / Appraisal,2000 (24 yrs old),5k-10k,5k-10k
Photon Interactive,IT Services & Consulting ,4.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,1999 (25 yrs old),1k-5k,1k-5k
Xoriant,IT Services & Consulting ,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,1990 (34 yrs old),5k-10k,1k-5k
Vedantu,EdTech ,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction","Job Security, Promotions / Appraisal, Work Satisfaction",2011 (13 yrs old),1k-5k,1k-5k
café Coffee day,Hospitality ,3.9,"Promotions / Appraisal, Salary & Benefits","Promotions / Appraisal, Salary & Benefits",,,
Tata Advanced Systems,Defence & Aerospace ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",,,
Uflex,Packaging ,3.8,Job Security,"Promotions / Appraisal, Company Culture",1985 (39 yrs old),5k-10k,5k-10k
IDBI Bank,Banking ,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",1964 (60 yrs old),10k-50k,10k-50k
Kotak Securities,Financial Services ,3.7,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1994 (30 yrs old),5k-10k,5k-10k
SBI Securities,Financial Services ,3.8,Promotions / Appraisal,Promotions / Appraisal,,,
Frankfinn Institute of Air Hostess Training,Education & Training ,4.0,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,1993 (31 yrs old),1k-5k,1k-5k
TVS Sundram Fasteners,Auto Components ,3.8,"Promotions / Appraisal, Salary & Benefits, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",,,
Aditya Birla Capital,Financial Services ,4.0,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Company Culture",,,
SGS,Other ,3.9,Promotions / Appraisal,Promotions / Appraisal,1878 (146 yrs old),50k-1 Lakh,1k-5k
